g,gn
-2597.5369465062668,-2620.1087166555226
-554.3613292597684,-561.3810571958311
-1153.0184806683546,-1163.2573659881018
-220.35954642641806,-220.22504708729684
-929.1232680479977,-937.8391041536815
-1210.183198769153,-1210.187292599585
-2102.7261738482885,-2102.1696738898754
-944.2624443690293,-945.1696314499713
-5033.670889726958,-5020.6926971441135
-4519.737273852623,-4513.035491982009
-19342.49041167686,-19342.332961969078
-19103.93882874207,-19104.295461147558
-913.0560958902555,-923.3281161868945
-350.06364859551337,-348.0408850009553
-464.3857865692229,-464.8200047085993
-580.7796610853828,-593.8500180491246
-544.259782991075,-555.7012627832592
