i_large_loan,i_medium_loan,rate_spread,i_refinance,age_r,cltv,dti,cu,first_mort_r,i_FHA,i_open_year2,i_open_year3,i_open_year4,i_open_year5,score_0,score_1,score_2,duration,nsmoid,analysis_weight,open_year,pmms,i_open,considerations,applications,i_close_first_year,i_married,i_higher_ed,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,change_score_0,change_score_1,change_score_2
0,1,.24,1,.37,.97000003,1,2,2,0,0,0,0,0,5.9099998,6.6300001,6.9299998,4,201145,1706.654411764706,2013,3.509999997913837,1,1,1,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,.72000027,1.02
0,0,.73,1,.34999999,1.23,.25,2,2,0,0,0,0,0,7.29,6.1799998,6.4099998,4,200872,1905.339552238806,2013,3.399999998509884,1,1,1,0,0,1,4.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,-1.1100001,-.88000011
0,1,-.27,1,.34,.91000003,.25,2,2,1,0,0,0,0,6.4099998,5.8099999,3.98,2,201330,1905.339552238806,2013,3.519999995827675,0,1,1,1,1,1,3.25,3.895689,3.8419178,3.6166666,1,0,1,0,-.5999999,-2.4299998
0,0,-.07,0,.33000001,.97000003,.5,2,2,1,0,0,0,0,6.8099999,5.8899999,6.23,4,202233,1437.587274774775,2013,3.569999992847443,1,1,1,0,0,1,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.92000008,-.57999992
0,1,-.15,0,.34,.77999997,.5,2,1,0,0,0,0,0,8.1000004,8.0100002,6.3299999,4,201022,1437.587274774775,2013,4.399999991059303,1,3,3,0,0,1,4.25,3.895689,3.8419178,3.6166666,1,1,1,0,-.090000153,-1.7700005
0,1,-.15,1,.33000001,.94999999,.5,2,2,1,0,0,0,0,6.9099998,7.3000002,6.8499999,3,200657,1905.339552238806,2013,3.399999998509884,0,1,1,0,1,0,3.25,3.895689,3.8419178,3.6166666,1,1,0,0,.39000034,-.059999943
0,1,-.15,0,.31999999,1.02,.25,2,1,1,0,0,0,0,6.4499998,7.3800001,7.4699998,4,202426,3025.065165876777,2013,3.399999998509884,1,1,1,0,1,0,3.25,3.895689,3.8419178,3.6166666,1,1,1,0,.93000031,1.02
0,0,-.15,1,.31999999,.87,.25,2,2,1,0,0,0,0,8.1400003,7.98,8.1300001,4,203887,2677.617101449275,2013,3.529999993741512,1,3,1,0,1,1,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.16000032,-.010000229
1,0,.23,0,.31,.62,.25,2,1,0,0,0,0,0,7.8299999,7.3299999,7.1799998,3,200220,1713.591902552204,2013,3.399999998509884,0,2,2,0,1,1,3.6300001,3.895689,3.8419178,3.6166666,1,1,0,0,-.5,-.6500001
0,1,-.41,0,.63999999,.97000003,.5,2,2,0,0,0,0,0,7.9000001,7.3299999,7.54,4,202861,1028.749258064516,2013,3.909999996423721,1,2,1,0,0,1,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.57000017,-.36000013
0,1,-.71,0,.28,.69999999,.5,2,1,0,0,0,0,0,7.8800001,7.8800001,7.9899998,4,203835,1706.654411764706,2013,4.459999993443489,0,2,2,0,0,1,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,0,.10999966
0,1,-.46,0,.28999999,.95999998,.5,2,1,1,0,0,0,0,6.9000001,6.8899999,6.5799999,4,201211,1208.769410801964,2013,4.459999993443489,0,2,2,0,1,1,4,3.895689,3.8419178,3.6166666,1,1,1,0,-.010000229,-.32000017
0,0,.35,0,.34,.79000002,.25,2,1,0,0,0,0,0,7.4099998,7.46,7.4499998,4,204020,1437.587274774775,2013,4.399999991059303,1,1,2,0,0,1,4.75,3.895689,3.8419178,3.6166666,1,1,1,0,.050000191,.039999962
0,1,.21,0,.28999999,.89999998,.5,1,1,0,0,0,0,0,7.8000002,7.6700001,7.8699999,4,203804,1437.587274774775,2013,3.53999999910593,1,4,1,0,1,1,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,-.13000011,.069999695
